"","record_id","month","day","year","AverageTemperatureFahr","AverageTemperatureUncertaintyFahr","City","country_id","Country","Latitude","Longitude"
"850",475225,10,1,1923,56.6528,33.2114,"Auckland","NEW","New Zealand","36.17S","175.03E"
"860",475235,8,1,1924,53.3768,32.9198,"Auckland","NEW","New Zealand","36.17S","175.03E"
"870",475245,6,1,1925,54.4766,32.8244,"Auckland","NEW","New Zealand","36.17S","175.03E"
"880",475255,4,1,1926,61.8656,33.7442,"Auckland","NEW","New Zealand","36.17S","175.03E"
"890",475265,2,1,1927,66.8372,33.3122,"Auckland","NEW","New Zealand","36.17S","175.03E"
"900",475275,12,1,1927,61.457,33.008,"Auckland","NEW","New Zealand","36.17S","175.03E"
"910",475285,10,1,1928,57.3062,33.3968,"Auckland","NEW","New Zealand","36.17S","175.03E"
"920",475295,8,1,1929,53.087,32.8064,"Auckland","NEW","New Zealand","36.17S","175.03E"
"930",475305,6,1,1930,54.1256,32.8082,"Auckland","NEW","New Zealand","36.17S","175.03E"
"940",475315,4,1,1931,61.3364,32.7506,"Auckland","NEW","New Zealand","36.17S","175.03E"
"950",475325,2,1,1932,65.7878,33.215,"Auckland","NEW","New Zealand","36.17S","175.03E"
"960",475335,12,1,1932,63.0086,33.1502,"Auckland","NEW","New Zealand","36.17S","175.03E"
"970",475345,10,1,1933,56.6114,32.873,"Auckland","NEW","New Zealand","36.17S","175.03E"
"980",475355,8,1,1934,53.7746,32.7632,"Auckland","NEW","New Zealand","36.17S","175.03E"
"990",475365,6,1,1935,55.9256,33.215,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1000",475375,4,1,1936,62.5406,32.7614,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1010",475385,2,1,1937,63.8654,32.846,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1020",475395,12,1,1937,65.7824,33.4778,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1030",475405,10,1,1938,57.4376,32.9612,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1040",475415,8,1,1939,53.69,32.6624,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1050",475425,6,1,1940,53.9978,32.9954,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1060",475435,4,1,1941,59.8712,32.5634,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1070",475445,2,1,1942,64.8698,32.7146,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1080",475455,12,1,1942,62.7242,32.8082,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1090",475465,10,1,1943,56.246,33.0872,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1100",475475,8,1,1944,53.645,33.1412,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1110",475485,6,1,1945,52.3256,33.5786,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1120",475495,4,1,1946,63.1922,32.8604,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1130",475505,2,1,1947,64.5062,32.6516,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1140",475515,12,1,1947,64.1696,32.5148,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1150",475525,10,1,1948,58.2764,33.9908,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1160",475535,8,1,1949,53.7188,32.8118,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1170",475545,6,1,1950,56.4944,32.5904,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1180",475555,4,1,1951,61.9376,32.9018,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1190",475565,2,1,1952,68.1584,32.6624,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1200",475575,12,1,1952,62.5514,32.8604,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1210",475585,10,1,1953,56.6996,32.4788,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1220",475595,8,1,1954,53.2418,32.5958,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1230",475605,6,1,1955,54.7466,32.7776,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1240",475615,4,1,1956,66.713,33.0764,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1250",475625,2,1,1957,68.6012,32.738,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1260",475635,12,1,1957,61.6532,32.6354,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1270",475645,10,1,1958,59.4032,32.7038,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1280",475655,8,1,1959,54.5054,32.7668,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1290",475665,6,1,1960,55.9904,32.7128,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1300",475675,4,1,1961,61.889,32.8532,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1310",475685,2,1,1962,67.793,32.801,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1320",475695,12,1,1962,62.8322,32.7992,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1330",475705,10,1,1963,57.2684,32.423,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1340",475715,8,1,1964,54.3308,32.6102,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1350",475725,6,1,1965,54.0716,32.8694,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1360",475735,4,1,1966,61.8404,32.4698,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1370",475745,2,1,1967,65.5412,33.0332,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1380",475755,12,1,1967,63.473,32.5364,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1390",475765,10,1,1968,56.1704,33.2744,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1400",475775,8,1,1969,53.636,32.6912,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1410",475785,6,1,1970,55.9688,32.4248,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1420",475795,4,1,1971,62.5442,32.5202,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1430",475805,2,1,1972,65.201,32.729,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1440",475815,12,1,1972,61.8188,32.9774,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1450",475825,10,1,1973,58.379,32.5346,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1460",475835,8,1,1974,54.2534,32.5202,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1470",475845,6,1,1975,54.1148,32.477,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1480",475855,4,1,1976,62.6774,32.4338,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1490",475865,2,1,1977,66.686,32.5544,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1500",475875,12,1,1977,61.1384,32.6156,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1510",475885,10,1,1978,54.9086,32.81,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1520",475895,8,1,1979,54.2336,32.9522,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1530",475905,6,1,1980,55.7384,32.4986,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1540",475915,4,1,1981,63.5522,32.5922,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1550",475925,2,1,1982,68.1818,32.7992,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1560",475935,12,1,1982,62.0456,32.468,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1570",475945,10,1,1983,58.1144,32.4176,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1580",475955,8,1,1984,55.9382,32.7524,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1590",475965,6,1,1985,56.759,32.675,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1600",475975,4,1,1986,62.6648,32.6696,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1610",475985,2,1,1987,65.8292,32.6444,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1620",475995,12,1,1987,63.9176,32.4284,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1630",476005,10,1,1988,58.766,32.5832,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1640",476015,8,1,1989,55.0076,33.1844,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1650",476025,6,1,1990,55.2164,32.99,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1660",476035,4,1,1991,61.4876,32.378,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1670",476045,2,1,1992,66.7922,32.7074,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1680",476055,12,1,1992,63.0284,33.4616,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1690",476065,10,1,1993,57.6356,32.4068,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1700",476075,8,1,1994,53.942,32.6084,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1710",476085,6,1,1995,55.6934,32.621,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1720",476095,4,1,1996,63.9536,32.5544,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1730",476105,2,1,1997,67.325,32.5022,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1740",476115,12,1,1997,64.067,32.4356,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1750",476125,10,1,1998,59.9576,32.6156,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1760",476135,8,1,1999,54.3992,32.4428,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1770",476145,6,1,2000,56.9066,32.3312,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1780",476155,4,1,2001,62.7656,32.5022,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1790",476165,2,1,2002,66.5384,32.4356,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1800",476175,12,1,2002,63.2408,32.3888,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1810",476185,10,1,2003,56.8634,32.6264,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1820",476195,8,1,2004,52.763,32.4212,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1830",476205,6,1,2005,55.8068,32.4806,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1840",476215,4,1,2006,64.1624,32.6786,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1850",476225,2,1,2007,67.2206,32.4374,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1860",476235,12,1,2007,64.679,32.3744,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1870",476245,10,1,2008,57.7436,32.3978,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1880",476255,8,1,2009,56.7752,32.3942,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1890",476265,6,1,2010,56.5682,32.4698,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1900",476275,4,1,2011,62.9474,32.7416,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1910",476285,2,1,2012,66.7994,32.585,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1920",476295,12,1,2012,65.5538,33.1952,"Auckland","NEW","New Zealand","36.17S","175.03E"
"1930",1099059,1,1,1832,71.3714,34.8872,"Brasília","BRA","Brazil","15.27S","47.50W"
"1940",1099069,11,1,1832,70.2644,34.349,"Brasília","BRA","Brazil","15.27S","47.50W"
"1950",1099079,9,1,1833,73.0184,35.2076,NA,"",NA,"15.27S","47.50W"
"1960",1099089,7,1,1834,67.4834,35.0654,"Brasília","BRA","Brazil","15.27S","47.50W"
"1970",1099099,5,1,1835,67.4924,34.439,"Brasília","BRA","Brazil","15.27S","47.50W"
"1980",1099109,3,1,1836,72.275,34.2734,"Brasília","BRA","Brazil","15.27S","47.50W"
"1990",1099119,1,1,1837,71.4956,35.357,"Brasília","BRA","Brazil","15.27S","47.50W"
"2000",1099129,11,1,1837,69.746,35.5676,"Brasília","BRA","Brazil","15.27S","47.50W"
"2010",1099139,9,1,1838,71.6774,34.5308,"Brasília","BRA","Brazil","15.27S","47.50W"
"2020",1099149,7,1,1839,66.299,36.8042,"Brasília","BRA","Brazil","15.27S","47.50W"
"2030",1099159,5,1,1840,69.8738,34.799,"Brasília","BRA","Brazil","15.27S","47.50W"
"2040",1099169,3,1,1841,70.9214,37.8266,"Brasília","BRA","Brazil","15.27S","47.50W"
"2050",1099179,1,1,1842,71.4596,34.8044,"Brasília","BRA","Brazil","15.27S","47.50W"
"2060",1099189,11,1,1842,70.5236,34.6352,"Brasília","BRA","Brazil","15.27S","47.50W"
"2070",1099199,9,1,1843,72.3344,34.3166,"Brasília","BRA","Brazil","15.27S","47.50W"
"2080",1099209,7,1,1844,NA,NA,"Brasília","BRA","Brazil","15.27S","47.50W"
"2090",1099219,5,1,1845,NA,NA,"Brasília","BRA","Brazil","15.27S","47.50W"
"2100",1099229,3,1,1846,NA,NA,"Brasília","BRA","Brazil","15.27S","47.50W"
"2110",1099239,1,1,1847,NA,NA,"Brasília","BRA","Brazil","15.27S","47.50W"
"2120",1099249,11,1,1847,NA,NA,"Brasília","BRA","Brazil","15.27S","47.50W"
"2130",1099259,9,1,1848,NA,NA,"Brasília","BRA","Brazil","15.27S","47.50W"
"2140",1099269,7,1,1849,NA,NA,"Brasília","BRA","Brazil","15.27S","47.50W"
"2150",1099279,5,1,1850,NA,NA,"Brasília","BRA","Brazil","15.27S","47.50W"
"2160",1099289,3,1,1851,70.5884,34.2932,"Brasília","BRA","Brazil","15.27S","47.50W"
"2170",1099299,1,1,1852,71.6342,35.8538,"Brasília","BRA","Brazil","15.27S","47.50W"
"2180",1099309,11,1,1852,71.2832,35.519,"Brasília","BRA","Brazil","15.27S","47.50W"
"2190",1099319,9,1,1853,73.6196,34.6676,"Brasília","BRA","Brazil","15.27S","47.50W"
"2200",1099329,7,1,1854,68.1692,34.5308,"Brasília","BRA","Brazil","15.27S","47.50W"
"2210",1099339,5,1,1855,69.9638,34.4426,"Brasília","BRA","Brazil","15.27S","47.50W"
"2220",1099349,3,1,1856,70.0916,34.4228,"Brasília","BRA","Brazil","15.27S","47.50W"
"2230",1099359,1,1,1857,70.7144,34.5254,"Brasília","BRA","Brazil","15.27S","47.50W"
"2240",1099369,11,1,1857,72.1904,35.15,"Brasília","BRA","Brazil","15.27S","47.50W"
"2250",1099379,9,1,1858,69.449,37.4684,"Brasília","BRA","Brazil","15.27S","47.50W"
"2260",1099389,7,1,1859,65.6348,35.3228,"Brasília","BRA","Brazil","15.27S","47.50W"
"2270",1099399,5,1,1860,69.3464,34.142,"Brasília","BRA","Brazil","15.27S","47.50W"
"2280",1099409,3,1,1861,70.7882,34.3346,"Brasília","BRA","Brazil","15.27S","47.50W"
"2290",1099419,1,1,1862,69.0998,34.4606,"Brasília","BRA","Brazil","15.27S","47.50W"
"2300",1099429,11,1,1862,70.97,35.0384,"Brasília","BRA","Brazil","15.27S","47.50W"
"2310",1099439,9,1,1863,70.4228,35.5856,"Brasília","BRA","Brazil","15.27S","47.50W"
"2320",1099449,7,1,1864,66.6374,34.3004,"Brasília","BRA","Brazil","15.27S","47.50W"
"2330",1099459,5,1,1865,69.17,34.4084,"Brasília","BRA","Brazil","15.27S","47.50W"
"2340",1099469,3,1,1866,69.4202,36.3164,"Brasília","BRA","Brazil","15.27S","47.50W"
"2350",1099479,1,1,1867,70.1978,36.1832,"Brasília","BRA","Brazil","15.27S","47.50W"
"2360",1099489,11,1,1867,71.6288,36.5252,"Brasília","BRA","Brazil","15.27S","47.50W"
"2370",1099499,9,1,1868,73.4774,34.5596,"Brasília","BRA","Brazil","15.27S","47.50W"
"2380",1099509,7,1,1869,68.2502,34.9664,"Brasília","BRA","Brazil","15.27S","47.50W"
"2390",1099519,5,1,1870,70.8764,34.5074,"Brasília","BRA","Brazil","15.27S","47.50W"
"2400",1099529,3,1,1871,72.6242,34.7864,"Brasília","BRA","Brazil","15.27S","47.50W"
"2410",1099539,1,1,1872,72.2948,37.1336,"Brasília","BRA","Brazil","15.27S","47.50W"
"2420",1099549,11,1,1872,71.492,34.3778,"Brasília","BRA","Brazil","15.27S","47.50W"
"2430",1099559,9,1,1873,72.995,35.042,"Brasília","BRA","Brazil","15.27S","47.50W"
"2440",1099569,7,1,1874,66.3692,34.8314,"Brasília","BRA","Brazil","15.27S","47.50W"
"2450",1099579,5,1,1875,68.7884,34.493,"Brasília","BRA","Brazil","15.27S","47.50W"
"2460",1099589,3,1,1876,72.005,34.376,"Brasília","BRA","Brazil","15.27S","47.50W"
"2470",1099599,1,1,1877,70.7882,35.2598,"Brasília","BRA","Brazil","15.27S","47.50W"
"2480",1099609,11,1,1877,72.0518,34.1042,"Brasília","BRA","Brazil","15.27S","47.50W"
"2490",1099619,9,1,1878,73.6952,34.0556,"Brasília","BRA","Brazil","15.27S","47.50W"
"2500",1099629,7,1,1879,67.2998,34.277,"Brasília","BRA","Brazil","15.27S","47.50W"
"2510",1099639,5,1,1880,70.2518,34.3886,"Brasília","BRA","Brazil","15.27S","47.50W"
"2520",1099649,3,1,1881,72.3992,33.9368,"Brasília","BRA","Brazil","15.27S","47.50W"
"2530",1099659,1,1,1882,71.4398,35.5532,"Brasília","BRA","Brazil","15.27S","47.50W"
"2540",1099669,11,1,1882,69.8324,34.2212,"Brasília","BRA","Brazil","15.27S","47.50W"
"2550",1099679,9,1,1883,72.05,33.9494,"Brasília","BRA","Brazil","15.27S","47.50W"
"2560",1099689,7,1,1884,66.6518,34.1384,"Brasília","BRA","Brazil","15.27S","47.50W"
"2570",1099699,5,1,1885,70.8314,34.4516,"Brasília","BRA","Brazil","15.27S","47.50W"
"2580",1099709,3,1,1886,71.9402,33.9368,"Brasília","BRA","Brazil","15.27S","47.50W"
"2590",1099719,1,1,1887,70.6568,34.3652,"Brasília","BRA","Brazil","15.27S","47.50W"
"2600",1099729,11,1,1887,71.2544,34.4966,"Brasília","BRA","Brazil","15.27S","47.50W"
"2610",1099739,9,1,1888,75.4952,35.6396,"Brasília","BRA","Brazil","15.27S","47.50W"
"2620",1099749,7,1,1889,67.442,34.0592,"Brasília","BRA","Brazil","15.27S","47.50W"
"2630",1099759,5,1,1890,68.702,33.9656,"Brasília","BRA","Brazil","15.27S","47.50W"
"2640",1099769,3,1,1891,71.834,33.6992,"Brasília","BRA","Brazil","15.27S","47.50W"
"2650",1099779,1,1,1892,72.158,33.8774,"Brasília","BRA","Brazil","15.27S","47.50W"
"2660",1099789,11,1,1892,70.8134,33.962,"Brasília","BRA","Brazil","15.27S","47.50W"
"2670",1099799,9,1,1893,70.718,34.1276,"Brasília","BRA","Brazil","15.27S","47.50W"
"2680",1099809,7,1,1894,65.4854,33.8558,"Brasília","BRA","Brazil","15.27S","47.50W"
"2690",1099819,5,1,1895,69.1358,33.8558,"Brasília","BRA","Brazil","15.27S","47.50W"
"2700",1099829,3,1,1896,71.2544,33.3392,"Brasília","BRA","Brazil","15.27S","47.50W"
"2710",1099839,1,1,1897,71.8466,34.5704,"Brasília","BRA","Brazil","15.27S","47.50W"
"2720",1099849,11,1,1897,71.0942,33.3032,"Brasília","BRA","Brazil","15.27S","47.50W"
"2730",1099859,9,1,1898,71.2832,33.3212,"Brasília","BRA","Brazil","15.27S","47.50W"
"2740",1099869,7,1,1899,66.3404,33.8288,"Brasília","BRA","Brazil","15.27S","47.50W"
"2750",1099879,5,1,1900,70.7342,34.7774,"Brasília","BRA","Brazil","15.27S","47.50W"
"2760",1099889,3,1,1901,72.77,35.096,"Brasília","BRA","Brazil","15.27S","47.50W"
